partition,n_blocks,success,signature,violates_3over4,perfect,refines_f_output_quotient
"[0, 1, 2, 2, 3, 2, 3, 4]",5,0.8749999999999998,"000|+01|01+,01-,-01|1+0,1-0|111",True,False,False
"[0, 1, 2, 2, 3, 2, 4, 0]",5,0.875,"000,111|+01|01+,01-,-01|1+0|1-0",True,False,False
"[0, 1, 2, 2, 3, 2, 4, 1]",5,0.7499999999999999,"000|+01,111|01+,01-,-01|1+0|1-0",False,False,False
"[0, 1, 2, 2, 3, 2, 4, 2]",5,0.7499999999999999,"000|+01|01+,01-,-01,111|1+0|1-0",False,False,False
"[0, 1, 2, 2, 3, 2, 4, 3]",5,0.7499999999999999,"000|+01|01+,01-,-01|1+0,111|1-0",False,False,False
"[0, 1, 2, 2, 3, 2, 4, 4]",5,0.7499999999999999,"000|+01|01+,01-,-01|1+0|1-0,111",False,False,False
"[0, 1, 2, 2, 3, 2, 4, 5]",6,0.8749999999999999,"000|+01|01+,01-,-01|1+0|1-0|111",True,False,False
"[0, 1, 2, 2, 3, 3, 0, 0]",4,0.75,"000,1-0,111|+01|01+,01-|1+0,-01",False,False,False
"[0, 1, 2, 2, 3, 3, 0, 1]",4,0.6249999999999999,"000,1-0|+01,111|01+,01-|1+0,-01",False,False,False
"[0, 1, 2, 2, 3, 3, 0, 2]",4,0.6249999999999999,"000,1-0|+01|01+,01-,111|1+0,-01",False,False,False
"[0, 1, 2, 2, 3, 3, 0, 3]",4,0.6249999999999999,"000,1-0|+01|01+,01-|1+0,-01,111",False,False,False
"[0, 1, 2, 2, 3, 3, 0, 4]",5,0.7499999999999999,"000,1-0|+01|01+,01-|1+0,-01|111",False,False,False
"[0, 1, 2, 2, 3, 3, 1, 0]",4,0.75,"000,111|+01,1-0|01+,01-|1+0,-01",False,False,False
"[0, 1, 2, 2, 3, 3, 1, 1]",4,0.6249999999999999,"000|+01,1-0,111|01+,01-|1+0,-01",False,False,False
"[0, 1, 2, 2, 3, 3, 1, 2]",4,0.6249999999999999,"000|+01,1-0|01+,01-,111|1+0,-01",False,False,False
"[0, 1, 2, 2, 3, 3, 1, 3]",4,0.6249999999999999,"000|+01,1-0|01+,01-|1+0,-01,111",False,False,False
"[0, 1, 2, 2, 3, 3, 1, 4]",5,0.7499999999999999,"000|+01,1-0|01+,01-|1+0,-01|111",False,False,False
"[0, 1, 2, 2, 3, 3, 2, 0]",4,0.75,"000,111|+01|01+,01-,1-0|1+0,-01",False,False,False
"[0, 1, 2, 2, 3, 3, 2, 1]",4,0.6249999999999999,"000|+01,111|01+,01-,1-0|1+0,-01",False,False,False
"[0, 1, 2, 2, 3, 3, 2, 2]",4,0.6249999999999999,"000|+01|01+,01-,1-0,111|1+0,-01",False,False,False
"[0, 1, 2, 2, 3, 3, 2, 3]",4,0.6249999999999999,"000|+01|01+,01-,1-0|1+0,-01,111",False,False,False
"[0, 1, 2, 2, 3, 3, 2, 4]",5,0.7499999999999999,"000|+01|01+,01-,1-0|1+0,-01|111",False,False,False
"[0, 1, 2, 2, 3, 3, 3, 0]",4,0.875,"000,111|+01|01+,01-|1+0,-01,1-0",True,False,False
"[0, 1, 2, 2, 3, 3, 3, 1]",4,0.7499999999999999,"000|+01,111|01+,01-|1+0,-01,1-0",False,False,False
"[0, 1, 2, 2, 3, 3, 3, 2]",4,0.7499999999999998,"000|+01|01+,01-,111|1+0,-01,1-0",False,False,False
"[0, 1, 2, 2, 3, 3, 3, 3]",4,0.7499999999999998,"000|+01|01+,01-|1+0,-01,1-0,111",False,False,False
"[0, 1, 2, 2, 3, 3, 3, 4]",5,0.8749999999999998,"000|+01|01+,01-|1+0,-01,1-0|111",True,False,False
"[0, 1, 2, 2, 3, 3, 4, 0]",5,0.875,"000,111|+01|01+,01-|1+0,-01|1-0",True,False,False
"[0, 1, 2, 2, 3, 3, 4, 1]",5,0.7499999999999999,"000|+01,111|01+,01-|1+0,-01|1-0",False,False,False
"[0, 1, 2, 2, 3, 3, 4, 2]",5,0.7499999999999999,"000|+01|01+,01-,111|1+0,-01|1-0",False,False,False
"[0, 1, 2, 2, 3, 3, 4, 3]",5,0.7499999999999999,"000|+01|01+,01-|1+0,-01,111|1-0",False,False,False
"[0, 1, 2, 2, 3, 3, 4, 4]",5,0.7499999999999999,"000|+01|01+,01-|1+0,-01|1-0,111",False,False,False
"[0, 1, 2, 2, 3, 3, 4, 5]",6,0.8749999999999999,"000|+01|01+,01-|1+0,-01|1-0|111",True,False,False
"[0, 1, 2, 2, 3, 4, 0, 0]",5,0.875,"000,1-0,111|+01|01+,01-|1+0|-01",True,False,False
"[0, 1, 2, 2, 3, 4, 0, 1]",5,0.7499999999999999,"000,1-0|+01,111|01+,01-|1+0|-01",False,False,False
"[0, 1, 2, 2, 3, 4, 0, 2]",5,0.7499999999999999,"000,1-0|+01|01+,01-,111|1+0|-01",False,False,False
"[0, 1, 2, 2, 3, 4, 0, 3]",5,0.7499999999999999,"000,1-0|+01|01+,01-|1+0,111|-01",False,False,False
"[0, 1, 2, 2, 3, 4, 0, 4]",5,0.7499999999999999,"000,1-0|+01|01+,01-|1+0|-01,111",False,False,False
"[0, 1, 2, 2, 3, 4, 0, 5]",6,0.8749999999999999,"000,1-0|+01|01+,01-|1+0|-01|111",True,False,False
"[0, 1, 2, 2, 3, 4, 1, 0]",5,0.875,"000,111|+01,1-0|01+,01-|1+0|-01",True,False,False
"[0, 1, 2, 2, 3, 4, 1, 1]",5,0.7499999999999999,"000|+01,1-0,111|01+,01-|1+0|-01",False,False,False
"[0, 1, 2, 2, 3, 4, 1, 2]",5,0.7499999999999999,"000|+01,1-0|01+,01-,111|1+0|-01",False,False,False
"[0, 1, 2, 2, 3, 4, 1, 3]",5,0.7499999999999999,"000|+01,1-0|01+,01-|1+0,111|-01",False,False,False
"[0, 1, 2, 2, 3, 4, 1, 4]",5,0.7499999999999999,"000|+01,1-0|01+,01-|1+0|-01,111",False,False,False
"[0, 1, 2, 2, 3, 4, 1, 5]",6,0.8749999999999999,"000|+01,1-0|01+,01-|1+0|-01|111",True,False,False
"[0, 1, 2, 2, 3, 4, 2, 0]",5,0.875,"000,111|+01|01+,01-,1-0|1+0|-01",True,False,False
"[0, 1, 2, 2, 3, 4, 2, 1]",5,0.7499999999999999,"000|+01,111|01+,01-,1-0|1+0|-01",False,False,False
"[0, 1, 2, 2, 3, 4, 2, 2]",5,0.7499999999999999,"000|+01|01+,01-,1-0,111|1+0|-01",False,False,False
"[0, 1, 2, 2, 3, 4, 2, 3]",5,0.7499999999999999,"000|+01|01+,01-,1-0|1+0,111|-01",False,False,False
"[0, 1, 2, 2, 3, 4, 2, 4]",5,0.7499999999999999,"000|+01|01+,01-,1-0|1+0|-01,111",False,False,False
"[0, 1, 2, 2, 3, 4, 2, 5]",6,0.8749999999999999,"000|+01|01+,01-,1-0|1+0|-01|111",True,False,False
"[0, 1, 2, 2, 3, 4, 3, 0]",5,1.0,"000,111|+01|01+,01-|1+0,1-0|-01",True,True,True
"[0, 1, 2, 2, 3, 4, 3, 1]",5,0.8749999999999999,"000|+01,111|01+,01-|1+0,1-0|-01",True,False,False
"[0, 1, 2, 2, 3, 4, 3, 2]",5,0.8749999999999998,"000|+01|01+,01-,111|1+0,1-0|-01",True,False,False
"[0, 1, 2, 2, 3, 4, 3, 3]",5,0.8749999999999998,"000|+01|01+,01-|1+0,1-0,111|-01",True,False,False
"[0, 1, 2, 2, 3, 4, 3, 4]",5,0.8749999999999998,"000|+01|01+,01-|1+0,1-0|-01,111",True,False,False
"[0, 1, 2, 2, 3, 4, 3, 5]",6,0.9999999999999998,"000|+01|01+,01-|1+0,1-0|-01|111",True,True,True
"[0, 1, 2, 2, 3, 4, 4, 0]",5,0.875,"000,111|+01|01+,01-|1+0|-01,1-0",True,False,False
"[0, 1, 2, 2, 3, 4, 4, 1]",5,0.7499999999999999,"000|+01,111|01+,01-|1+0|-01,1-0",False,False,False
"[0, 1, 2, 2, 3, 4, 4, 2]",5,0.7499999999999999,"000|+01|01+,01-,111|1+0|-01,1-0",False,False,False
"[0, 1, 2, 2, 3, 4, 4, 3]",5,0.7499999999999999,"000|+01|01+,01-|1+0,111|-01,1-0",False,False,False
"[0, 1, 2, 2, 3, 4, 4, 4]",5,0.7499999999999999,"000|+01|01+,01-|1+0|-01,1-0,111",False,False,False
"[0, 1, 2, 2, 3, 4, 4, 5]",6,0.8749999999999999,"000|+01|01+,01-|1+0|-01,1-0|111",True,False,False
"[0, 1, 2, 2, 3, 4, 5, 0]",6,1.0,"000,111|+01|01+,01-|1+0|-01|1-0",True,True,True
"[0, 1, 2, 2, 3, 4, 5, 1]",6,0.8749999999999999,"000|+01,111|01+,01-|1+0|-01|1-0",True,False,False
"[0, 1, 2, 2, 3, 4, 5, 2]",6,0.8749999999999999,"000|+01|01+,01-,111|1+0|-01|1-0",True,False,False
"[0, 1, 2, 2, 3, 4, 5, 3]",6,0.8749999999999999,"000|+01|01+,01-|1+0,111|-01|1-0",True,False,False
"[0, 1, 2, 2, 3, 4, 5, 4]",6,0.8749999999999999,"000|+01|01+,01-|1+0|-01,111|1-0",True,False,False
"[0, 1, 2, 2, 3, 4, 5, 5]",6,0.8749999999999999,"000|+01|01+,01-|1+0|-01|1-0,111",True,False,False
"[0, 1, 2, 2, 3, 4, 5, 6]",7,0.9999999999999999,"000|+01|01+,01-|1+0|-01|1-0|111",True,True,True
"[0, 1, 2, 3, 0, 0, 0, 0]",4,0.625,"000,1+0,-01,1-0,111|+01|01+|01-",False,False,False
"[0, 1, 2, 3, 0, 0, 0, 1]",4,0.6249999999999999,"000,1+0,-01,1-0|+01,111|01+|01-",False,False,False
"[0, 1, 2, 3, 0, 0, 0, 2]",4,0.6249999999999999,"000,1+0,-01,1-0|+01|01+,111|01-",False,False,False
"[0, 1, 2, 3, 0, 0, 0, 3]",4,0.6249999999999999,"000,1+0,-01,1-0|+01|01+|01-,111",False,False,False
"[0, 1, 2, 3, 0, 0, 0, 4]",5,0.7499999999999999,"000,1+0,-01,1-0|+01|01+|01-|111",False,False,False
"[0, 1, 2, 3, 0, 0, 1, 0]",4,0.625,"000,1+0,-01,111|+01,1-0|01+|01-",False,False,False
"[0, 1, 2, 3, 0, 0, 1, 1]",4,0.5,"000,1+0,-01|+01,1-0,111|01+|01-",False,False,False
"[0, 1, 2, 3, 0, 0, 1, 2]",4,0.5,"000,1+0,-01|+01,1-0|01+,111|01-",False,False,False
"[0, 1, 2, 3, 0, 0, 1, 3]",4,0.49999999999999994,"000,1+0,-01|+01,1-0|01+|01-,111",False,False,False
"[0, 1, 2, 3, 0, 0, 1, 4]",5,0.6249999999999999,"000,1+0,-01|+01,1-0|01+|01-|111",False,False,False
"[0, 1, 2, 3, 0, 0, 2, 0]",4,0.625,"000,1+0,-01,111|+01|01+,1-0|01-",False,False,False
"[0, 1, 2, 3, 0, 0, 2, 1]",4,0.5,"000,1+0,-01|+01,111|01+,1-0|01-",False,False,False
"[0, 1, 2, 3, 0, 0, 2, 2]",4,0.5,"000,1+0,-01|+01|01+,1-0,111|01-",False,False,False
"[0, 1, 2, 3, 0, 0, 2, 3]",4,0.49999999999999994,"000,1+0,-01|+01|01+,1-0|01-,111",False,False,False
"[0, 1, 2, 3, 0, 0, 2, 4]",5,0.6249999999999999,"000,1+0,-01|+01|01+,1-0|01-|111",False,False,False
"[0, 1, 2, 3, 0, 0, 3, 0]",4,0.625,"000,1+0,-01,111|+01|01+|01-,1-0",False,False,False
"[0, 1, 2, 3, 0, 0, 3, 1]",4,0.5,"000,1+0,-01|+01,111|01+|01-,1-0",False,False,False
"[0, 1, 2, 3, 0, 0, 3, 2]",4,0.5,"000,1+0,-01|+01|01+,111|01-,1-0",False,False,False
"[0, 1, 2, 3, 0, 0, 3, 3]",4,0.49999999999999994,"000,1+0,-01|+01|01+|01-,1-0,111",False,False,False
"[0, 1, 2, 3, 0, 0, 3, 4]",5,0.6249999999999999,"000,1+0,-01|+01|01+|01-,1-0|111",False,False,False
"[0, 1, 2, 3, 0, 0, 4, 0]",5,0.75,"000,1+0,-01,111|+01|01+|01-|1-0",False,False,False
"[0, 1, 2, 3, 0, 0, 4, 1]",5,0.625,"000,1+0,-01|+01,111|01+|01-|1-0",False,False,False
"[0, 1, 2, 3, 0, 0, 4, 2]",5,0.625,"000,1+0,-01|+01|01+,111|01-|1-0",False,False,False
"[0, 1, 2, 3, 0, 0, 4, 3]",5,0.6249999999999999,"000,1+0,-01|+01|01+|01-,111|1-0",False,False,False
"[0, 1, 2, 3, 0, 0, 4, 4]",5,0.6249999999999999,"000,1+0,-01|+01|01+|01-|1-0,111",False,False,False
"[0, 1, 2, 3, 0, 0, 4, 5]",6,0.7499999999999999,"000,1+0,-01|+01|01+|01-|1-0|111",False,False,False
"[0, 1, 2, 3, 0, 1, 0, 0]",4,0.7499999999999999,"000,1+0,1-0,111|+01,-01|01+|01-",False,False,False
"[0, 1, 2, 3, 0, 1, 0, 1]",4,0.7499999999999999,"000,1+0,1-0|+01,-01,111|01+|01-",False,False,False
"[0, 1, 2, 3, 0, 1, 0, 2]",4,0.7499999999999999,"000,1+0,1-0|+01,-01|01+,111|01-",False,False,False
"[0, 1, 2, 3, 0, 1, 0, 3]",4,0.7499999999999999,"000,1+0,1-0|+01,-01|01+|01-,111",False,False,False
"[0, 1, 2, 3, 0, 1, 0, 4]",5,0.8749999999999999,"000,1+0,1-0|+01,-01|01+|01-|111",True,False,False
"[0, 1, 2, 3, 0, 1, 1, 0]",4,0.7499999999999999,"000,1+0,111|+01,-01,1-0|01+|01-",False,False,False
"[0, 1, 2, 3, 0, 1, 1, 1]",4,0.6249999999999999,"000,1+0|+01,-01,1-0,111|01+|01-",False,False,False
"[0, 1, 2, 3, 0, 1, 1, 2]",4,0.6249999999999999,"000,1+0|+01,-01,1-0|01+,111|01-",False,False,False
"[0, 1, 2, 3, 0, 1, 1, 3]",4,0.6249999999999999,"000,1+0|+01,-01,1-0|01+|01-,111",False,False,False
"[0, 1, 2, 3, 0, 1, 1, 4]",5,0.7499999999999999,"000,1+0|+01,-01,1-0|01+|01-|111",False,False,False
"[0, 1, 2, 3, 0, 1, 2, 0]",4,0.7499999999999999,"000,1+0,111|+01,-01|01+,1-0|01-",False,False,False
"[0, 1, 2, 3, 0, 1, 2, 1]",4,0.6249999999999999,"000,1+0|+01,-01,111|01+,1-0|01-",False,False,False
"[0, 1, 2, 3, 0, 1, 2, 2]",4,0.6249999999999999,"000,1+0|+01,-01|01+,1-0,111|01-",False,False,False
"[0, 1, 2, 3, 0, 1, 2, 3]",4,0.6249999999999999,"000,1+0|+01,-01|01+,1-0|01-,111",False,False,False
"[0, 1, 2, 3, 0, 1, 2, 4]",5,0.7499999999999999,"000,1+0|+01,-01|01+,1-0|01-|111",False,False,False
"[0, 1, 2, 3, 0, 1, 3, 0]",4,0.7499999999999999,"000,1+0,111|+01,-01|01+|01-,1-0",False,False,False
"[0, 1, 2, 3, 0, 1, 3, 1]",4,0.6249999999999999,"000,1+0|+01,-01,111|01+|01-,1-0",False,False,False
"[0, 1, 2, 3, 0, 1, 3, 2]",4,0.6249999999999999,"000,1+0|+01,-01|01+,111|01-,1-0",False,False,False
"[0, 1, 2, 3, 0, 1, 3, 3]",4,0.6249999999999999,"000,1+0|+01,-01|01+|01-,1-0,111",False,False,False
"[0, 1, 2, 3, 0, 1, 3, 4]",5,0.7499999999999999,"000,1+0|+01,-01|01+|01-,1-0|111",False,False,False
"[0, 1, 2, 3, 0, 1, 4, 0]",5,0.8749999999999999,"000,1+0,111|+01,-01|01+|01-|1-0",True,False,False
"[0, 1, 2, 3, 0, 1, 4, 1]",5,0.7499999999999999,"000,1+0|+01,-01,111|01+|01-|1-0",False,False,False
"[0, 1, 2, 3, 0, 1, 4, 2]",5,0.7499999999999999,"000,1+0|+01,-01|01+,111|01-|1-0",False,False,False
"[0, 1, 2, 3, 0, 1, 4, 3]",5,0.7499999999999999,"000,1+0|+01,-01|01+|01-,111|1-0",False,False,False
"[0, 1, 2, 3, 0, 1, 4, 4]",5,0.7499999999999999,"000,1+0|+01,-01|01+|01-|1-0,111",False,False,False
"[0, 1, 2, 3, 0, 1, 4, 5]",6,0.8749999999999999,"000,1+0|+01,-01|01+|01-|1-0|111",True,False,False
"[0, 1, 2, 3, 0, 2, 0, 0]",4,0.625,"000,1+0,1-0,111|+01|01+,-01|01-",False,False,False
"[0, 1, 2, 3, 0, 2, 0, 1]",4,0.6249999999999999,"000,1+0,1-0|+01,111|01+,-01|01-",False,False,False
"[0, 1, 2, 3, 0, 2, 0, 2]",4,0.6249999999999999,"000,1+0,1-0|+01|01+,-01,111|01-",False,False,False
"[0, 1, 2, 3, 0, 2, 0, 3]",4,0.6249999999999999,"000,1+0,1-0|+01|01+,-01|01-,111",False,False,False
"[0, 1, 2, 3, 0, 2, 0, 4]",5,0.7499999999999999,"000,1+0,1-0|+01|01+,-01|01-|111",False,False,False
"[0, 1, 2, 3, 0, 2, 1, 0]",4,0.625,"000,1+0,111|+01,1-0|01+,-01|01-",False,False,False
"[0, 1, 2, 3, 0, 2, 1, 1]",4,0.5,"000,1+0|+01,1-0,111|01+,-01|01-",False,False,False
"[0, 1, 2, 3, 0, 2, 1, 2]",4,0.5,"000,1+0|+01,1-0|01+,-01,111|01-",False,False,False
"[0, 1, 2, 3, 0, 2, 1, 3]",4,0.49999999999999994,"000,1+0|+01,1-0|01+,-01|01-,111",False,False,False
"[0, 1, 2, 3, 0, 2, 1, 4]",5,0.6249999999999999,"000,1+0|+01,1-0|01+,-01|01-|111",False,False,False
"[0, 1, 2, 3, 0, 2, 2, 0]",4,0.625,"000,1+0,111|+01|01+,-01,1-0|01-",False,False,False
"[0, 1, 2, 3, 0, 2, 2, 1]",4,0.5,"000,1+0|+01,111|01+,-01,1-0|01-",False,False,False
"[0, 1, 2, 3, 0, 2, 2, 2]",4,0.5,"000,1+0|+01|01+,-01,1-0,111|01-",False,False,False
"[0, 1, 2, 3, 0, 2, 2, 3]",4,0.49999999999999994,"000,1+0|+01|01+,-01,1-0|01-,111",False,False,False
"[0, 1, 2, 3, 0, 2, 2, 4]",5,0.6249999999999999,"000,1+0|+01|01+,-01,1-0|01-|111",False,False,False
"[0, 1, 2, 3, 0, 2, 3, 0]",4,0.625,"000,1+0,111|+01|01+,-01|01-,1-0",False,False,False
"[0, 1, 2, 3, 0, 2, 3, 1]",4,0.5,"000,1+0|+01,111|01+,-01|01-,1-0",False,False,False
"[0, 1, 2, 3, 0, 2, 3, 2]",4,0.5,"000,1+0|+01|01+,-01,111|01-,1-0",False,False,False
"[0, 1, 2, 3, 0, 2, 3, 3]",4,0.49999999999999994,"000,1+0|+01|01+,-01|01-,1-0,111",False,False,False
"[0, 1, 2, 3, 0, 2, 3, 4]",5,0.6249999999999999,"000,1+0|+01|01+,-01|01-,1-0|111",False,False,False
"[0, 1, 2, 3, 0, 2, 4, 0]",5,0.75,"000,1+0,111|+01|01+,-01|01-|1-0",False,False,False
"[0, 1, 2, 3, 0, 2, 4, 1]",5,0.625,"000,1+0|+01,111|01+,-01|01-|1-0",False,False,False
"[0, 1, 2, 3, 0, 2, 4, 2]",5,0.625,"000,1+0|+01|01+,-01,111|01-|1-0",False,False,False
"[0, 1, 2, 3, 0, 2, 4, 3]",5,0.6249999999999999,"000,1+0|+01|01+,-01|01-,111|1-0",False,False,False
"[0, 1, 2, 3, 0, 2, 4, 4]",5,0.6249999999999999,"000,1+0|+01|01+,-01|01-|1-0,111",False,False,False
"[0, 1, 2, 3, 0, 2, 4, 5]",6,0.7499999999999999,"000,1+0|+01|01+,-01|01-|1-0|111",False,False,False
"[0, 1, 2, 3, 0, 3, 0, 0]",4,0.625,"000,1+0,1-0,111|+01|01+|01-,-01",False,False,False
"[0, 1, 2, 3, 0, 3, 0, 1]",4,0.6249999999999999,"000,1+0,1-0|+01,111|01+|01-,-01",False,False,False
"[0, 1, 2, 3, 0, 3, 0, 2]",4,0.6249999999999999,"000,1+0,1-0|+01|01+,111|01-,-01",False,False,False
"[0, 1, 2, 3, 0, 3, 0, 3]",4,0.6249999999999999,"000,1+0,1-0|+01|01+|01-,-01,111",False,False,False
"[0, 1, 2, 3, 0, 3, 0, 4]",5,0.7499999999999999,"000,1+0,1-0|+01|01+|01-,-01|111",False,False,False
"[0, 1, 2, 3, 0, 3, 1, 0]",4,0.625,"000,1+0,111|+01,1-0|01+|01-,-01",False,False,False
"[0, 1, 2, 3, 0, 3, 1, 1]",4,0.5,"000,1+0|+01,1-0,111|01+|01-,-01",False,False,False
"[0, 1, 2, 3, 0, 3, 1, 2]",4,0.5,"000,1+0|+01,1-0|01+,111|01-,-01",False,False,False
"[0, 1, 2, 3, 0, 3, 1, 3]",4,0.49999999999999994,"000,1+0|+01,1-0|01+|01-,-01,111",False,False,False
"[0, 1, 2, 3, 0, 3, 1, 4]",5,0.6249999999999999,"000,1+0|+01,1-0|01+|01-,-01|111",False,False,False
"[0, 1, 2, 3, 0, 3, 2, 0]",4,0.625,"000,1+0,111|+01|01+,1-0|01-,-01",False,False,False
"[0, 1, 2, 3, 0, 3, 2, 1]",4,0.5,"000,1+0|+01,111|01+,1-0|01-,-01",False,False,False
"[0, 1, 2, 3, 0, 3, 2, 2]",4,0.5,"000,1+0|+01|01+,1-0,111|01-,-01",False,False,False
"[0, 1, 2, 3, 0, 3, 2, 3]",4,0.49999999999999994,"000,1+0|+01|01+,1-0|01-,-01,111",False,False,False
"[0, 1, 2, 3, 0, 3, 2, 4]",5,0.6249999999999999,"000,1+0|+01|01+,1-0|01-,-01|111",False,False,False
"[0, 1, 2, 3, 0, 3, 3, 0]",4,0.625,"000,1+0,111|+01|01+|01-,-01,1-0",False,False,False
"[0, 1, 2, 3, 0, 3, 3, 1]",4,0.5,"000,1+0|+01,111|01+|01-,-01,1-0",False,False,False
"[0, 1, 2, 3, 0, 3, 3, 2]",4,0.5,"000,1+0|+01|01+,111|01-,-01,1-0",False,False,False
"[0, 1, 2, 3, 0, 3, 3, 3]",4,0.49999999999999994,"000,1+0|+01|01+|01-,-01,1-0,111",False,False,False
"[0, 1, 2, 3, 0, 3, 3, 4]",5,0.6249999999999999,"000,1+0|+01|01+|01-,-01,1-0|111",False,False,False
"[0, 1, 2, 3, 0, 3, 4, 0]",5,0.75,"000,1+0,111|+01|01+|01-,-01|1-0",False,False,False
"[0, 1, 2, 3, 0, 3, 4, 1]",5,0.625,"000,1+0|+01,111|01+|01-,-01|1-0",False,False,False
"[0, 1, 2, 3, 0, 3, 4, 2]",5,0.625,"000,1+0|+01|01+,111|01-,-01|1-0",False,False,False
"[0, 1, 2, 3, 0, 3, 4, 3]",5,0.6249999999999999,"000,1+0|+01|01+|01-,-01,111|1-0",False,False,False
"[0, 1, 2, 3, 0, 3, 4, 4]",5,0.6249999999999999,"000,1+0|+01|01+|01-,-01|1-0,111",False,False,False
"[0, 1, 2, 3, 0, 3, 4, 5]",6,0.7499999999999999,"000,1+0|+01|01+|01-,-01|1-0|111",False,False,False
"[0, 1, 2, 3, 0, 4, 0, 0]",5,0.75,"000,1+0,1-0,111|+01|01+|01-|-01",False,False,False
"[0, 1, 2, 3, 0, 4, 0, 1]",5,0.7499999999999999,"000,1+0,1-0|+01,111|01+|01-|-01",False,False,False
"[0, 1, 2, 3, 0, 4, 0, 2]",5,0.7499999999999999,"000,1+0,1-0|+01|01+,111|01-|-01",False,False,False
"[0, 1, 2, 3, 0, 4, 0, 3]",5,0.7499999999999999,"000,1+0,1-0|+01|01+|01-,111|-01",False,False,False
"[0, 1, 2, 3, 0, 4, 0, 4]",5,0.7499999999999999,"000,1+0,1-0|+01|01+|01-|-01,111",False,False,False
"[0, 1, 2, 3, 0, 4, 0, 5]",6,0.8749999999999999,"000,1+0,1-0|+01|01+|01-|-01|111",True,False,False
"[0, 1, 2, 3, 0, 4, 1, 0]",5,0.75,"000,1+0,111|+01,1-0|01+|01-|-01",False,False,False
"[0, 1, 2, 3, 0, 4, 1, 1]",5,0.625,"000,1+0|+01,1-0,111|01+|01-|-01",False,False,False
"[0, 1, 2, 3, 0, 4, 1, 2]",5,0.625,"000,1+0|+01,1-0|01+,111|01-|-01",False,False,False
"[0, 1, 2, 3, 0, 4, 1, 3]",5,0.6249999999999999,"000,1+0|+01,1-0|01+|01-,111|-01",False,False,False
"[0, 1, 2, 3, 0, 4, 1, 4]",5,0.6249999999999999,"000,1+0|+01,1-0|01+|01-|-01,111",False,False,False
"[0, 1, 2, 3, 0, 4, 1, 5]",6,0.7499999999999999,"000,1+0|+01,1-0|01+|01-|-01|111",False,False,False
"[0, 1, 2, 3, 0, 4, 2, 0]",5,0.75,"000,1+0,111|+01|01+,1-0|01-|-01",False,False,False
"[0, 1, 2, 3, 0, 4, 2, 1]",5,0.625,"000,1+0|+01,111|01+,1-0|01-|-01",False,False,False
"[0, 1, 2, 3, 0, 4, 2, 2]",5,0.625,"000,1+0|+01|01+,1-0,111|01-|-01",False,False,False
"[0, 1, 2, 3, 0, 4, 2, 3]",5,0.6249999999999999,"000,1+0|+01|01+,1-0|01-,111|-01",False,False,False
"[0, 1, 2, 3, 0, 4, 2, 4]",5,0.6249999999999999,"000,1+0|+01|01+,1-0|01-|-01,111",False,False,False
"[0, 1, 2, 3, 0, 4, 2, 5]",6,0.7499999999999999,"000,1+0|+01|01+,1-0|01-|-01|111",False,False,False
"[0, 1, 2, 3, 0, 4, 3, 0]",5,0.75,"000,1+0,111|+01|01+|01-,1-0|-01",False,False,False
"[0, 1, 2, 3, 0, 4, 3, 1]",5,0.625,"000,1+0|+01,111|01+|01-,1-0|-01",False,False,False
"[0, 1, 2, 3, 0, 4, 3, 2]",5,0.625,"000,1+0|+01|01+,111|01-,1-0|-01",False,False,False
"[0, 1, 2, 3, 0, 4, 3, 3]",5,0.6249999999999999,"000,1+0|+01|01+|01-,1-0,111|-01",False,False,False
"[0, 1, 2, 3, 0, 4, 3, 4]",5,0.6249999999999999,"000,1+0|+01|01+|01-,1-0|-01,111",False,False,False
"[0, 1, 2, 3, 0, 4, 3, 5]",6,0.7499999999999999,"000,1+0|+01|01+|01-,1-0|-01|111",False,False,False
"[0, 1, 2, 3, 0, 4, 4, 0]",5,0.75,"000,1+0,111|+01|01+|01-|-01,1-0",False,False,False
"[0, 1, 2, 3, 0, 4, 4, 1]",5,0.625,"000,1+0|+01,111|01+|01-|-01,1-0",False,False,False
"[0, 1, 2, 3, 0, 4, 4, 2]",5,0.625,"000,1+0|+01|01+,111|01-|-01,1-0",False,False,False
"[0, 1, 2, 3, 0, 4, 4, 3]",5,0.6249999999999999,"000,1+0|+01|01+|01-,111|-01,1-0",False,False,False
"[0, 1, 2, 3, 0, 4, 4, 4]",5,0.6249999999999999,"000,1+0|+01|01+|01-|-01,1-0,111",False,False,False
"[0, 1, 2, 3, 0, 4, 4, 5]",6,0.7499999999999999,"000,1+0|+01|01+|01-|-01,1-0|111",False,False,False
"[0, 1, 2, 3, 0, 4, 5, 0]",6,0.875,"000,1+0,111|+01|01+|01-|-01|1-0",True,False,False
"[0, 1, 2, 3, 0, 4, 5, 1]",6,0.75,"000,1+0|+01,111|01+|01-|-01|1-0",False,False,False
"[0, 1, 2, 3, 0, 4, 5, 2]",6,0.75,"000,1+0|+01|01+,111|01-|-01|1-0",False,False,False
"[0, 1, 2, 3, 0, 4, 5, 3]",6,0.7499999999999999,"000,1+0|+01|01+|01-,111|-01|1-0",False,False,False
"[0, 1, 2, 3, 0, 4, 5, 4]",6,0.7499999999999999,"000,1+0|+01|01+|01-|-01,111|1-0",False,False,False
"[0, 1, 2, 3, 0, 4, 5, 5]",6,0.7499999999999999,"000,1+0|+01|01+|01-|-01|1-0,111",False,False,False
